file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,getMobileNetworkCode/0,false,92,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,getMobileCountryCode/0,false,82,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,"fromLacCid/3[org.traccar.model.Config,int,long]",false,42,2,10,9,1,1,2,3,1,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,getRadioType/0,false,52,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setMobileCountryCode/1[java.lang.Integer],false,86,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,getCellId/0,false,62,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setCellId/1[java.lang.Long],false,66,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setOperator/1[long],false,110,0,0,0,0,1,4,5,0,1,1,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setMobileNetworkCode/1[java.lang.Integer],false,96,0,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setSignalStrength/1[java.lang.Integer],false,106,0,8,8,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setRadioType/1[java.lang.String],false,56,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/AvemaProtocol.java,org.traccar.protocol.AvemaProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",false,34,6,95,0,95,1,1,6,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,4,0,false
