class,bugs_5.4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass,1
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,22
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$CanDt_J1939,7
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$CanDt_J1939$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$General,8
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$General$Builder,8
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$ICONDt,7
